NAC2_code,Integer
TOTAL_UNITS,1
TOTAL1,2
TOTAL2,3
TOTAL3,4
TOTAL4,5
TOTAL5,6
TOTAL6,7
TOTAL7,8
TOTAL8,9
TOTAL9,10
TOTAL10,11
TOTAL1_2,12
MT1,13
MT2,14
MT3,15
MT4,16
MT5,17
MT6,18
MT7,19
MT8,20
MT9,21
MT10,22
MT1_2,23
FT1,24
FT2,25
FT3,26
FT4,27
FT5,28
FT6,29
FT7,30
FT8,31
FT9,32
FT10,33
FT1_2,34
WHT1,35
WHT2,36
WHT3,37
WHT4,38
WHT5,39
WHT6,40
WHT7,41
WHT8,42
WHT9,43
WHT10,44
WHT1_2,45
WHM1,46
WHM2,47
WHM3,48
WHM4,49
WHM5,50
WHM6,51
WHM7,52
WHM8,53
WHM9,54
WHM10,55
WHM1_2,56
WHF1,57
WHF2,58
WHF3,59
WHF4,60
WHF5,61
WHF6,62
WHF7,63
WHF8,64
WHF9,65
WHF10,66
WHF1_2,67
BLKT1,68
BLKT2,69
BLKT3,70
BLKT4,71
BLKT5,72
BLKT6,73
BLKT7,74
BLKT8,75
BLKT9,76
BLKT10,77
BLKT1_2,78
BLKM1,79
BLKM2,80
BLKM3,81
BLKM4,82
BLKM5,83
BLKM6,84
BLKM7,85
BLKM8,86
BLKM9,87
BLKM10,88
BLKM1_2,89
BLKF1,90
BLKF2,91
BLKF3,92
BLKF4,93
BLKF5,94
BLKF6,95
BLKF7,96
BLKF8,97
BLKF9,98
BLKF10,99
BLKF1_2,100
HISPT1,101
HISPT2,102
HISPT3,103
HISPT4,104
HISPT5,105
HISPT6,106
HISPT7,107
HISPT8,108
HISPT9,109
HISPT10,110
HISPT1_2,111
HISPM1,112
HISPM2,113
HISPM3,114
HISPM4,115
HISPM5,116
HISPM6,117
HISPM7,118
HISPM8,119
HISPM9,120
HISPM10,121
HISPM1_2,122
HISPF1,123
HISPF2,124
HISPF3,125
HISPF4,126
HISPF5,127
HISPF6,128
HISPF7,129
HISPF8,130
HISPF9,131
HISPF10,132
HISPF1_2,133
ASIANT1,134
ASIANT2,135
ASIANT3,136
ASIANT4,137
ASIANT5,138
ASIANT6,139
ASIANT7,140
ASIANT8,141
ASIANT9,142
ASIANT10,143
ASIANT1_2,144
ASIANM1,145
ASIANM2,146
ASIANM3,147
ASIANM4,148
ASIANM5,149
ASIANM6,150
ASIANM7,151
ASIANM8,152
ASIANM9,153
ASIANM10,154
ASIANM1_2,155
ASIANF1,156
ASIANF2,157
ASIANF3,158
ASIANF4,159
ASIANF5,160
ASIANF6,161
ASIANF7,162
ASIANF8,163
ASIANF9,164
ASIANF10,165
ASIANF1_2,166
AIANT1,167
AIANT2,168
AIANT3,169
AIANT4,170
AIANT5,171
AIANT6,172
AIANT7,173
AIANT8,174
AIANT9,175
AIANT10,176
AIANT1_2,177
AIANM1,178
AIANM2,179
AIANM3,180
AIANM4,181
AIANM5,182
AIANM6,183
AIANM7,184
AIANM8,185
AIANM9,186
AIANM10,187
AIANM1_2,188
AIANF1,189
AIANF2,190
AIANF3,191
AIANF4,192
AIANF5,193
AIANF6,194
AIANF7,195
AIANF8,196
AIANF9,197
AIANF10,198
AIANF1_2,199
nhopiT1,200
nhopiT2,201
nhopiT3,202
nhopiT4,203
nhopiT5,204
nhopiT6,205
nhopiT7,206
nhopiT8,207
nhopiT9,208
nhopiT10,209
nhopiT1_2,210
NHOPIM1,211
NHOPIM2,212
NHOPIM3,213
NHOPIM4,214
NHOPIM5,215
NHOPIM6,216
NHOPIM7,217
NHOPIM8,218
NHOPIM9,219
NHOPIM10,220
NHOPIM1_2,221
NHOPIF1,222
NHOPIF2,223
NHOPIF3,224
NHOPIF4,225
NHOPIF5,226
NHOPIF6,227
NHOPIF7,228
NHOPIF8,229
NHOPIF9,230
NHOPIF10,231
NHOPIF1_2,232
tomrT1,233
tomrT2,234
tomrT3,235
tomrT4,236
tomrT5,237
tomrT6,238
tomrT7,239
tomrT8,240
tomrT9,241
tomrT10,242
tomrT1_2,243
TOMRM1,244
TOMRM2,245
TOMRM3,246
TOMRM4,247
TOMRM5,248
TOMRM6,249
TOMRM7,250
TOMRM8,251
TOMRM9,252
TOMRM10,253
TOMRM1_2,254
