NAC2_code,TOTAL10,MT10,FT10,WHT10,WHM10,WHF10,BLKT10,BLKM10,BLKF10,HISPT10,HISPM10,HISPF10,ASIANT10,ASIANM10,ASIANF10,AIANT10,AIANM10,AIANF10,nhopiT10,NHOPIM10,NHOPIF10,tomrT10,TOMRM10,
11,300638,204765,95873,91122,63572,27550,17815,12622,5193,179662,121013,58649,7544,4406,3138,1523,1128,395,1251,825,426,1721,1199,
21,440969,372858,68111,326576,277900,48676,23948,18985,4963,67153,58220,8933,11062,7625,3437,6274,5247,1027,846,712,134,5110,4169,
22,458837,342033,116804,343650,267448,76202,47093,28174,18919,40612,28130,12482,18403,11797,6606,3484,2627,857,930,648,282,4665,3209,
23,1502962,1341352,161610,991397,872704,118693,105984,93683,12301,344070,323589,20481,23374,18407,4967,14694,13087,1607,6970,6177,793,16473,13705,
31,1649922,1063477,586445,814190,551004,263186,279005,178717,100288,431725,258608,173117,92553,54420,38133,8870,5586,3284,9200,5931,3269,14379,9211,
32,2262470,1615195,647275,1598179,1160707,437472,243862,171802,72060,271968,189302,82666,111901,67974,43927,11596,8696,2900,6065,4158,1907,18899,12556,
33,5367815,3977434,1390381,3738567,2842824,895743,510255,349039,161216,593930,422483,171447,439087,301278,137809,24704,18207,6497,15668,10863,4805,45604,32740,
42,1565785,1040073,525712,1049497,696146,353351,176046,118611,57435,229610,156683,72927,78280,48137,30143,6749,4305,2444,6068,4168,1900,19535,12023,
44,4294160,2355860,1938300,2679065,1495246,1183819,591447,305721,285726,714200,395104,319096,161979,85654,76325,24413,12605,11808,19616,10568,9048,103440,50962,
45,3522350,1474612,2047738,2033607,864273,1169334,641222,255769,385453,547053,224818,322235,178566,77461,101105,27917,11277,16640,17942,7583,10359,76043,33431,
48,1904502,1394089,510413,1158322,877413,280909,370426,254275,116151,252764,181384,71380,69615,44950,24665,12013,8984,3029,15377,9642,5735,25985,17441,
49,747330,554228,193102,391439,297803,93636,183448,130257,53191,129821,95838,33983,25510,17904,7606,4035,2834,1201,2911,2030,881,10166,7562,
51,1723784,1022679,701105,1138437,693530,444907,214795,101404,113391,157331,93071,64260,166504,108575,57929,7034,4112,2922,6121,3444,2677,33562,18543,
52,3414330,1422650,1991680,2345621,1037190,1308431,428580,112986,315594,295730,107105,188625,261062,133746,127316,12076,4125,7951,10120,3755,6365,61141,23743,
53,431114,243236,187878,267332,152104,115228,62789,32139,30650,68605,42732,25873,19786,10080,9706,2191,1317,874,2446,1264,1182,7965,3600,
54,3560607,2078858,1481749,2438107,1449621,988486,308618,138583,170035,263002,142847,120155,465292,301632,163660,13404,7555,5849,11274,6348,4926,60910,32272,
55,720123,367910,352213,508517,268184,240333,75890,30278,45612,68958,35229,33729,49419,26032,23387,3718,1814,1904,2542,1197,1345,11079,5176,
56,2847725,1575854,1271871,1351683,765585,586098,697354,354659,342695,591119,340493,250626,114432,65480,48952,15668,8623,7045,16857,9357,7500,60612,31657,
61,446508,160604,285904,314774,114519,200255,54270,19031,35239,43941,15013,28928,21754,8049,13705,1559,571,988,2361,846,1515,7849,2575,
62,10078043,2185416,7892627,6307564,1318706,4988858,1883871,382519,1501352,999825,232323,767502,636267,190565,445702,54150,12133,42017,46070,12659,33411,150296,36511,
71,944948,507978,436970,602035,326464,275571,116678,60662,56016,144654,80089,64565,46342,22747,23595,4943,2582,2361,5697,3081,2616,24599,12353,
72,3164881,1518666,1646215,1502441,668328,834113,555716,270553,285163,795344,431702,363642,178922,85675,93247,20345,8929,11416,23753,11691,12062,88360,41788,
81,817664,382591,435073,494641,229837,264804,131349,62058,69291,132283,63499,68784,35772,16359,19413,3896,1769,2127,3724,1728,1996,15999,7341,
92,46760,27641,19119,31317,19312,12005,7170,3302,3868,4213,2476,1737,2723,1740,983,314,201,113,301,174,127,722,436,
